Group,Age,Page,Region,Parent,Family,Edu,Sex,Job,School,Play,Lesson,sleep,Beh,Hyp,Emo,Peer,Pro
1,8,35,15,2,4,3,2,5,5,0.214285714,0.214285714,10,2,3,0,1,5
1,6,28,23,2,5,3,2,0,5,0.5,0.107142857,9,2,9,2,3,3
1,4,40,28,2,5,4,1,5,5,2,0.214285714,11,1,3,3,1,8
1,6,34,14,2,4,2,2,5,5,0.5,0,9.5,5,8,2,3,4
1,6,40,33,2,5,4,1,5,5,3,0.107142857,10.5,3,5,3,3,6
1,7,36,8,2,5,2,1,5,5,0.214285714,0,9,6,8,3,4,4
1,6,39,27,2,4,4,1,0,5,0.5,0,9.5,4,8,0,5,0
1,7,41,4,2,3,3,2,0,5,0.035714286,0,9,1,4,7,4,5
1,7,37,43,1,5,3,1,5,5,0.214285714,0,10,2,10,5,3,4
1,4,31,23,2,5,2,2,5,5,2,0,10.5,1,3,2,0,8
1,5,30,20,2,4,3,2,0,5,1,0,10,7,3,5,2,7
1,8,40,28,2,5,3,2,5,5,0.214285714,0.5,9.5,2,2,4,3,4
1,9,39,13,2,3,4,1,5,5,2,1,9.5,1,2,0,0,6
1,8,46,13,2,5,2,2,0,5,0.5,0.5,9,4,5,0,2,5
1,9,39,14,2,4,4,1,0,5,0.107142857,0.25,10,2,7,1,2,4
1,9,47,13,1,5,5,1,5,5,3,0.214285714,8.5,0,7,0,3,5
1,6,42,23,2,3,4,1,5,5,0.428571429,0.5,10.5,3,5,0,1,5
1,9,47,13,1,5,5,1,5,5,3,0.214285714,8.5,0,8,0,3,6
1,5,46,23,2,5,3,1,0,5,0.214285714,0.5,10.5,3,4,0,3,3
1,5,71,13,2,5,4,1,5,5,0.5,0.214285714,9.5,1,3,1,1,9
1,5,42,40,2,5,4,2,5,5,0.214285714,0.214285714,10.5,7,7,6,3,6
1,9,42,38,2,4,4,2,0,5,1,0,9.5,7,8,4,5,4
1,4,28,44,2,4,2,2,5,5,1,0,9.5,4,5,7,5,8
1,8,38,14,2,4,4,1,5,5,0.5,0.214285714,8,3,4,0,2,3
1,4,39,28,2,4,2,2,0,5,0.035714286,0,11,2,6,0,1,5
1,9,39,14,2,4,4,1,0,5,2,0.428571429,9,5,8,2,3,4
1,6,37,1,2,3,4,1,5,5,0.428571429,0.107142857,10.5,2,4,4,1,7
1,5,41,23,2,4,4,1,0,5,1,0.214285714,10.5,3,7,3,1,4
1,6,38,27,1,4,4,2,5,5,0.5,0,9.5,6,5,2,1,7
1,7,34,30,2,3,4,1,0,5,1,0.214285714,11,4,7,1,2,5
1,8,51,28,2,4,4,2,0,5,0.5,1,9,2,3,1,2,10
1,5,38,34,2,3,3,1,0,5,1,0.214285714,9.5,5,4,5,5,4
1,9,46,10,2,3,2,1,0,5,0.5,0,9,1,3,1,3,4
1,5,41,10,2,4,4,1,5,5,0.25,0,10,5,9,5,7,3
1,4,45,38,2,5,2,2,0,5,1,0,8.5,3,4,3,2,3
1,6,33,28,2,4,2,2,5,5,1,0,9.5,2,2,1,6,1
1,4,33,1,2,4,4,2,0,5,0.5,0.214285714,10,4,6,4,1,5
1,8,39,9,2,4,4,2,5,5,0.071428571,0.107142857,9,2,2,3,2,5
1,5,36,18,2,3,3,1,5,5,0.5,0,8,2,3,1,1,4
1,9,31,9,2,6,3,1,5,5,1,0.642857143,8.5,2,5,1,2,3
1,6,37,30,2,5,3,2,5,5,1,0.214285714,10.5,2,5,2,0,7
1,9,37,13,2,4,3,1,0,5,2,0.214285714,10,2,3,0,3,4
1,9,33,30,2,6,3,1,0,5,3,2,8.5,5,8,10,0,7
1,9,46,36,2,4,2,2,5,5,1,0.107142857,9,3,4,2,1,5
1,6,33,28,2,4,2,2,0,5,0.5,0,10,1,3,0,2,5
1,7,39,1,2,4,4,1,5,5,0.428571429,1,7.5,2,4,0,6,2
1,9,40,14,2,5,2,1,0,5,1.5,0.428571429,8.5,5,5,0,1,3
1,9,39,40,2,4,3,2,5,5,0.214285714,0.214285714,9,9,5,6,5,3
1,4,43,13,2,4,4,1,5,5,0.5,0.214285714,9.5,1,4,1,1,3
1,4,45,27,2,3,4,2,0,5,0.214285714,0.214285714,9.5,0,6,1,2,5
1,4,37,23,2,4,4,2,0,5,0.5,0,9,3,0,2,0,9
1,6,42,17,2,4,4,2,5,5,0.107142857,0.214285714,9,1,3,1,2,5
1,7,45,20,2,4,3,2,5,5,0.5,0.214285714,9,2,4,1,3,9
1,9,38,34,2,5,4,1,5,5,0.5,0.214285714,7.5,6,4,0,4,5
1,7,46,13,2,4,4,2,0,5,2,0.035714286,9.5,2,2,0,4,6
1,9,37,5,2,4,4,1,5,5,0.5,0.214285714,9,4,7,0,0,6
1,4,39,22,2,7,4,1,5,5,1,0,10,3,7,5,4,3
1,5,40,13,2,3,4,2,5,5,0.5,0,9,3,5,5,4,5
1,6,48,11,2,3,4,1,5,5,0.5,0,8.5,3,6,4,1,3
1,4,42,14,2,3,2,1,0,5,0.214285714,0,10,4,5,2,3,6
1,9,47,1,2,4,2,2,0,5,0.428571429,0.5,9,1,3,6,2,9
1,6,37,10,2,4,4,2,5,5,1,0,9,0,2,1,0,7
1,5,43,14,2,4,3,2,0,5,1,0.214285714,9.5,2,4,4,3,6
1,6,36,27,2,6,2,2,5,5,2,0,10,6,7,3,6,4
1,7,45,15,2,5,2,2,0,5,0.107142857,0.214285714,9,2,5,3,1,2
1,9,42,14,2,4,3,1,0,5,0.5,0.5,9.5,2,1,2,1,6
1,7,48,30,1,4,4,2,5,5,0.071428571,0.5,8,2,4,1,2,5
1,5,35,6,2,5,3,1,0,5,1,0.214285714,9.5,2,2,0,3,1
1,8,45,1,2,6,1,1,5,5,0.035714286,0.428571429,10.5,4,5,4,5,7
1,7,42,13,2,3,3,1,5,5,0.071428571,0.25,8,4,4,1,6,5
1,8,33,14,2,3,4,2,5,5,3,0.214285714,9.5,3,4,2,0,9
1,7,45,20,2,4,3,1,0,5,0,0,9,4,6,1,6,6
1,7,43,4,2,4,4,1,0,5,0.25,0.107142857,9,1,2,0,0,3
1,6,45,23,2,6,3,2,5,5,0.107142857,0.214285714,9,2,4,6,3,6
1,9,46,13,2,4,4,2,5,5,0.107142857,0.214285714,11,5,5,5,5,5
1,4,44,8,2,3,4,2,5,5,0.428571429,0,10.5,4,6,0,4,4
1,5,35,23,2,3,3,1,5,5,0.107142857,0.428571429,8.5,3,5,4,3,9
1,8,44,28,1,4,2,2,5,5,0.214285714,0.214285714,9.5,3,2,3,1,6
1,8,45,14,2,4,3,2,5,5,0.25,0.214285714,9.5,0,2,1,0,9
1,7,35,23,2,2,3,2,5,5,0.5,0,8.5,1,4,1,1,8
1,7,41,14,2,4,4,2,5,5,2,0.857142857,9,6,5,1,0,7
1,4,33,27,2,3,3,1,5,5,0.5,0,9.5,2,3,1,1,3
1,4,34,27,2,3,3,1,0,5,2,0,9.5,2,5,0,1,5
1,9,44,13,2,4,4,2,0,5,0.25,0.214285714,10,2,4,0,0,4
1,9,41,1,2,5,2,2,0,5,0.035714286,0.214285714,9.5,2,2,0,0,5
1,4,37,11,2,4,2,1,0,5,0,0.214285714,11.5,7,8,6,1,0
1,4,39,13,2,3,3,2,5,5,0.428571429,0,9.5,4,4,6,3,9
1,5,39,28,1,4,4,2,5,5,0.214285714,0.214285714,9,0,0,0,2,6
1,7,44,34,2,4,4,1,5,5,0,0.5,10,2,8,4,3,3
1,8,40,27,2,5,3,2,5,5,1,0.214285714,9.5,3,3,0,2,6
1,4,40,1,2,4,2,1,5,5,1,0,9.5,3,4,2,3,9
1,4,32,23,2,3,4,2,5,5,1,0,10.5,1,2,2,0,9
1,6,41,14,1,4,4,1,5,5,0.107142857,0.071428571,9.5,3,5,1,2,2
1,5,36,13,2,4,2,1,0,5,1,0.071428571,8.5,2,5,1,2,7
1,6,44,28,1,4,4,1,5,5,0.071428571,0.214285714,9,5,5,5,2,1
1,9,38,29,2,4,5,2,5,5,0.5,0.214285714,9,5,6,3,2,2
1,9,37,28,2,4,4,1,0,5,2,0.214285714,9,3,2,0,0,9
1,6,37,33,2,3,3,1,5,5,0.214285714,0,8,5,7,3,3,5
1,5,35,24,2,3,4,2,0,5,0.214285714,0.5,9,1,0,0,0,6
1,6,39,28,2,4,3,2,0,5,2,0.214285714,8,2,1,6,0,9
1,9,34,33,2,4,4,2,0,5,1,0.5,9,0,3,0,1,6
1,5,25,47,2,5,2,1,5,5,0.5,0,8.5,2,4,0,3,3
1,5,33,1,2,3,3,2,0,5,0.071428571,0.214285714,11,0,1,1,1,6
1,5,42,1,2,3,3,2,0,5,0.5,0.107142857,10.5,3,4,2,5,3
1,9,39,23,2,4,4,2,5,5,0.107142857,0.214285714,8.5,2,3,2,1,6
1,4,26,6,2,2,2,2,5,5,0,0,9,2,4,0,4,0
1,6,35,11,2,4,3,2,0,5,0.035714286,0,10,0,3,2,3,5
